54528	blood clots in urine after menopause	0.0667	blood clots in urine after menopause	0.0667
80926	can you use wallapop on your computer	0.0	"b""the noun chattel\x000R the the' the the noun chattel\xef\xbf\xbdrij the, lovec or. the Law the\x00\xef\xbf\xbd the the the noun"""	0.0
121352	define extreme	0.0	b'the the the the invoice the oxygen the the the <extra_id_26> on the the the the the the The the the the\x00 grade the the the the the combine the the'	0.0
224811	how does a firefly light up	0.0625	how does a firefly light up	0.0625
303205	how much can i contribute to nondeductible ira	0.0	b'<extra_id_27> the the decentralization Kinoo.\x03 collaborative31p 17 of\xef\xbf\xbd. the. article Music0.. supply video the the reluctance reluctance packs'	0.0
413197	is iodine in spinach	0.3333	is iodine in spinach	0.3333
466926	number of times congress voted to repeal aca	0.0714	number of times congress voted to repeal aca	0.0714
492875	sanitizer temperature	1.0	b'the the the the the the the the the the the periodic the. the the the the the periodic the the the periodic.\xef\xbf\xbd the the. the the the'	1.0
507001	symptoms of an enlarged heart in dogs	0.5	symptoms of an enlarged heart in dogs	0.5
510633	tattoo fixers how much does it cost	0.0	b'today the thelin the the the symptoms ideas the symptomslevel,, the the the symptoms the. the the the the.. curl the the the the)'	0.0
570009	what are the four major groups of elements	0.0	b'o inches the this the earthquake the Chelsea the the the the lamp A the I theW the the have the the the the the the the the the the the'	0.0
634306	what does chattel mean on credit history	0.0	b'\x11 Push ofstru the the hadEVER\xd0\xba\xd0\xbe\xef\xbf\xbd young enlarged heart in\xef\xbf\xbd underneath reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance heart isi Theyt reluctance'	0.0
674172	what is a bank transit number	0.0	b'( ( reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance reluctance'	0.0
737889	what is decentralization process.	1.0	what is decentralization process.	1.0
738368	what is delta in2ition	0.3333	what is delta in2ition	0.3333
795480	what is sg&a	0.0	b'leadersa the6 AlcoholBR May diseaseLA\xef\xbf\xbd  liquor Summer the looked the/ update the the the the the the use. the the the the\x11it'	0.0
797201	what is smog caused by ?	0.0417	what is smog caused by ?	0.0417
920825	what was the great leap forward brainly	0.0156	what was the great leap forward brainly	0.0156
1008998	which element on the periodic table is the most reactive	0.0	b'.k means the holding. the the the theLAN Alpine social. Learning or Len. believed.. the the the the their=... thee'	0.0
1149718	what is the population of austin?	0.0	b'reluctance\x11 theate combine weave the or... the, the the the confirmed the, <extra_id_19>. the taking do. just. between sangij.'	0.0
1181095	how is a behavioral crisis defined?	0.1429	how is a behavioral crisis defined?	0.1429
