54528	blood clots in urine after menopause	0.0	b'how ran menopause iodine iodine'	0.0
80926	can you use wallapop on your computer	0.0	b'so on on pc using a home can pixels history <extra_id_10> the maybe High\x00V higher'	0.0
121352	define extreme	0.0	b'. themm is sensitive to extreme\x00by'	0.0
224811	how does a firefly light up	0.0	b''	0.0
303205	how much can i contribute to nondeductible ira	0.0	b'<extra_id_27>duct=\x0educt\xef\xbf\xbd\x05educt Awesome\xef\xbf\xbdeductdeduct red managedductiblea iralav for a saleY\t'	0.0
466926	number of times congress voted to repeal aca	0.0	"b""how it'se\xef\xbf\xbd 7spops hardly metals howk\x08 spiritual\xef\xbf\xbd?Fors Chu taxpayers forward spent, Finance\x17?2\x04 he sandwiches"""	0.0
492875	sanitizer temperature	1.0	sanitizer temperature	1.0
510633	tattoo fixers how much does it cost	0.0	b'13)\x0c\x08 spinach'	0.0
570009	what are the four major groups of elements	0.0	b'periodic tableesse groups iupac system. what are enterprise enlarged thes <extra_id_16> the periodic table or groups'	0.0
634306	what does chattel mean on credit history	0.0	b'!\xe2\x80\x9d\x00 discouraged\x00\x04 to fire0 young on0 dogs wall computer on\x1a singles) update the Gil chattel us the the Gil chattel ( in population'	0.0
674172	what is a bank transit number	0.0	b'@ transit number (apop obtained state involved Darwin which performance appears\x08 discharge bank Education bit bit <extra_id_7> in the united states number appears the united resource number'	0.0
737889	what is decentralization process.	1.0	b'<extra_id_21> fire 2017 bank asked questions on the decentralization process in kosovoo 2 numbero belong'	1.0
795480	what is sg&a	0.0	b'drugsg&a congress'	0.0
797201	what is smog caused by ?	0.0	b'\x00\x0c'	0.0
920825	what was the great leap forward brainly	0.0	b'isation leap forward ideal map talked quo the great leap forward brain'	0.0
1008998	which element on the periodic table is the most reactive	0.0	b'the reactive reactive reactive'	0.0
1149718	what is the population of austin?	0.0	b'company does in\x10 austin inin how K periodic Type exact does taken'	0.0
1181095	how is a behavioral crisis defined?	0.0	b'how? involved behavioral behavioral crisis crisis in defined most accurately defined as: a behavioral crisis foreign crisis <extra_id_23> far\xef\xbf\xbd\xef\xbf\xbd+ Overall\x17cott psychiatric condition in which'	1.0
