name, category
stem.krovetz,Stemming_Analysis
stem.lovins,Stemming_Analysis
stem.paicehusk,Stemming_Analysis
stem.porter,Stemming_Analysis
stem.porter2,Stemming_Analysis
stem.sstemmer,Stemming_Analysis
stem.trunc4,Stemming_Analysis
stem.trunc5,Stemming_Analysis
conceptnet.topn3,Semantic_Analysis
conceptnet.topn3.replace,Semantic_Analysis
glove.topn3,Semantic_Analysis
glove.topn3.replace,Semantic_Analysis
sensedisambiguation,Semantic_Analysis
sensedisambiguation.replace,Semantic_Analysis
thesaurus.topn3,Semantic_Analysis
thesaurus.topn3.replace,Semantic_Analysis
word2vec.topn3,Semantic_Analysis
word2vec.topn3.replace,Semantic_Analysis
wordnet.topn3,Semantic_Analysis
wordnet.topn3.replace,Semantic_Analysis
termluster.topn5.3.bm25,Term_Clustering
termluster.topn5.3.qld,Term_Clustering
conceptluster.topn5.3.bm25,Concept_Clustering
conceptluster.topn5.3.qld,Concept_Clustering
anchor.topn3,Anchor_Text
anchor.topn3.replace,Anchor_Text
wiki.topn3,Wikipedia
wiki.topn3.replace,Wikipedia
tagmee.topn3,Wikipedia
tagmee.topn3.replace,Wikipedia
relevancefeedback.topn10.bm25,Top_Documents
relevancefeedback.topn10.qld,Top_Documents
rm3.topn10.10.0.5.bm25,Top_Documents
rm3.topn10.10.0.5.qld,Top_Documents
adaponfields.topn3.exgov2.4.0.25.10.2.25.1.bm25,Top_Documents
adaponfields.topn3.exgov2.4.0.25.10.1.1.bm25,Top_Documents
adaponfields.topn3.exgov2.4.0.25.10.1.1.qld,Top_Documents
onfields.topn3.10.2.25.1.bm25,Top_Documents
onfields.topn3.10.1.1.bm25,Top_Documents
onfields.topn3.10.2.25.1.qld,Top_Documents
onfields.topn3.10.1.1.qld,Top_Documents
onfields.topn3.10.4.0.25.bm25,Top_Documents
onfields.topn3.10.1.0.bm25,Top_Documents
adaponfields.topn3.exgov2.4.0.25.10.2.25.1.qld,Top_Documents
adaponfields.topn3.exgov2.4.0.25.10.1.0.qld,Top_Documents
adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.bm25,Top_Documents
adaponfields.topn3.exrobust04.2.25.1.10.4.0.25.qld,Top_Documents
adaponfields.topn3.exgov2.4.0.25.10.4.0.qld,Top_Documents
onfields.topn3.10.4.0.25.qld,Top_Documents
onfields.topn3.10.4.0.bm25,Top_Documents
adaponfields.topn3.exgov2.4.0.25.10.4.0.bm25,Top_Documents
onfields.topn3.10.4.0.qld,Top_Documents
adaponfields.topn3.exgov2.4.0.25.10.1.0.bm25,Top_Documents
onfields.topn3.10.1.0.qld,Top_Documents
bertqe.topn10.bm25,Top_Documents
bertqe.topn10.qld,Top_Documents
docluster.topn10.3.bm25,Document_Summaries
docluster.topn10.3.qld,Document_Summaries
